time_element,username,post_text,thread_page
2:32 PM,parlayraider81,I’m in…,1
2:33 PM,TechAdvisor,Near perfect GameDay weather here at the tailgate.,1
2:33 PM,82 Matador,"Time for a victory. Bowl eligibility bowl, let’s goooo!",1
2:33 PM,mxraider,    Also @J. Ramirez feel free to sneak over there to the SEZ project and take more photos…,1
2:34 PM,J. Ramirez,"  TechAdvisor said:       Near perfect GameDay weather here at the tailgate.    Click to expand...  Yup, beautiful day here. Went for about a four mile walk this morning to take it all in.",1
2:34 PM,ttuboat,Bowl eligible today,1
2:36 PM,NoGood1989,Today we sweep the leg   Kill UCF,1
2:38 PM,J. Ramirez,"    For those unaware, the steel has now reached across the entire SEZ and looks like sheets of metal are being laid down on the east end. It’s coming along",1
2:41 PM,AngryPumpjack,Let’s get bowl eligible today 😎👍.,1
2:42 PM,mxraider,"  J. Ramirez said:    View attachment 3651  For those unaware, the steel has now reached across the entire SEZ and looks like sheets of metal are being laid down on the east end. It’s coming along    Click to expand...  Kinda of amazing you’re going to have a very limited view of the IPF when the SEZ project is complete.",1
2:43 PM,raiderlex,Find. A. Way.,1
2:52 PM,TraderRaider,"  J. Ramirez said:    View attachment 3651  For those unaware, the steel has now reached across the entire SEZ and looks like sheets of metal are being laid down on the east end. It’s coming along    Click to expand...  By far, the best picture taken of the SEZ project so far.   Thanks a lot.",1
3:06 PM,J. Ramirez,Gino Garcia just sent two through the uprights from 56,1
3:06 PM,Froda,  Seems like a good sign.,1
3:07 PM,mxraider,  Froda said:     View embedded media    Seems like a good sign.    Click to expand...  He was clearly planning for the traditional 2:30 start.,1
3:07 PM,RedRaider3920,"  TraderRaider said:       By far, the best picture taken of the SEZ project so far.   Thanks a lot.    Click to expand...   Agree.  Really helps seeing it to scale (for lack of better word).  Going to make the Jones feel a lot bigger and will definitely trap a lot of noise!",1
3:09 PM,Rolf C,My body is ready.,1
3:09 PM,J. Ramirez,No Myles Price yet in warmups,1
3:10 PM,J. Apodaca,"WR Myles Price not out with the punt returners.Been dealing with an ankle injury, early in the process but he's always out with this group.",1
3:10 PM,J. Ramirez,Price usually comes out with the punt returners but is not on the field as they come out,1
3:17 PM,twooth,"Get Bowl Elgible Today,  Run it back to back to back, please LORD .  -     -LETS GOOOO, RED RAIDERS",1
3:17 PM,J. Ramirez,Mason Tharp is warming up,1
3:20 PM,J. Ramirez,"False alarm, no Tyler Owens like we thought, took a second look and he’s not down there",1
3:24 PM,J. Ramirez,"Should expect a look at Marcus Ramon-Edwards on special teams tonight, he’s wearing No. 16 to avoid a possible duplicate number situation with Im assuming Nehemiah Martinez",1
3:25 PM,J. Ramirez,Cole Spencer is dressed out and warming up,1
3:25 PM,J. Ramirez,"Rest of the defense has hit the field for warmups, we’re not seeing Bryce Ramirez so far",1
3:26 PM,J. Ramirez,Not seeing Steve Linton as the team gets lined up for stretches,1
