time_element,username,post_text,thread_page,post_text_cleaned
2:32:00 PM,parlayraider81,I’m in…,1,I’m in…
2:33:00 PM,TechAdvisor,Near perfect GameDay weather here at the tailgate.,1,Near perfect GameDay weather here at the tailgate.
2:33:00 PM,82 Matador,"Time for a victory. Bowl eligibility bowl, let’s goooo!",1,"Time for a victory. Bowl eligibility bowl, let’s goooo!"
2:33:00 PM,mxraider,    Also @J. Ramirez feel free to sneak over there to the SEZ project and take more photos…,1,Also @J. Ramirez feel free to sneak over there to the SEZ project and take more photos…
2:34:00 PM,J. Ramirez,"  TechAdvisor said:       Near perfect GameDay weather here at the tailgate.    Click to expand...  Yup, beautiful day here. Went for about a four mile walk this morning to take it all in.",1,"Yup, beautiful day here. Went for about a four mile walk this morning to take it all in."
2:34:00 PM,ttuboat,Bowl eligible today,1,Bowl eligible today
2:36:00 PM,NoGood1989,Today we sweep the leg   Kill UCF,1,Today we sweep the leg Kill UCF
2:38:00 PM,J. Ramirez,"    For those unaware, the steel has now reached across the entire SEZ and looks like sheets of metal are being laid down on the east end. It’s coming along",1,"For those unaware, the steel has now reached across the entire SEZ and looks like sheets of metal are being laid down on the east end. It’s coming along"
2:41:00 PM,AngryPumpjack,Let’s get bowl eligible today 😎👍.,1,Let’s get bowl eligible today 😎👍.
2:42:00 PM,mxraider,"  J. Ramirez said:    View attachment 3651  For those unaware, the steel has now reached across the entire SEZ and looks like sheets of metal are being laid down on the east end. It’s coming along    Click to expand...  Kinda of amazing you’re going to have a very limited view of the IPF when the SEZ project is complete.",1,Kinda of amazing you’re going to have a very limited view of the IPF when the SEZ project is complete.
2:43:00 PM,raiderlex,Find. A. Way.,1,Find. A. Way.
2:52:00 PM,TraderRaider,"  J. Ramirez said:    View attachment 3651  For those unaware, the steel has now reached across the entire SEZ and looks like sheets of metal are being laid down on the east end. It’s coming along    Click to expand...  By far, the best picture taken of the SEZ project so far.   Thanks a lot.",1,"By far, the best picture taken of the SEZ project so far. Thanks a lot."
3:06:00 PM,J. Ramirez,Gino Garcia just sent two through the uprights from 56,1,Gino Garcia just sent two through the uprights from 56
3:06:00 PM,Froda,  Seems like a good sign.,1,Seems like a good sign.
3:07:00 PM,mxraider,  Froda said:     View embedded media    Seems like a good sign.    Click to expand...  He was clearly planning for the traditional 2:30 start.,1,He was clearly planning for the traditional 2:30 start.
3:07:00 PM,RedRaider3920,"  TraderRaider said:       By far, the best picture taken of the SEZ project so far.   Thanks a lot.    Click to expand...   Agree.  Really helps seeing it to scale (for lack of better word).  Going to make the Jones feel a lot bigger and will definitely trap a lot of noise!",1,Agree. Really helps seeing it to scale (for lack of better word). Going to make the Jones feel a lot bigger and will definitely trap a lot of noise!
3:09:00 PM,Rolf C,My body is ready.,1,My body is ready.
3:09:00 PM,J. Ramirez,No Myles Price yet in warmups,1,No Myles Price yet in warmups
3:10:00 PM,J. Apodaca,"WR Myles Price not out with the punt returners.Been dealing with an ankle injury, early in the process but he's always out with this group.",1,"WR Myles Price not out with the punt returners.Been dealing with an ankle injury, early in the process but he's always out with this group."
3:10:00 PM,J. Ramirez,Price usually comes out with the punt returners but is not on the field as they come out,1,Price usually comes out with the punt returners but is not on the field as they come out
3:17:00 PM,twooth,"Get Bowl Elgible Today,  Run it back to back to back, please LORD .  -     -LETS GOOOO, RED RAIDERS",1,"Get Bowl Elgible Today, Run it back to back to back, please LORD . - -LETS GOOOO, RED RAIDERS"
3:17:00 PM,J. Ramirez,Mason Tharp is warming up,1,Mason Tharp is warming up
