time_element,username,post_text,thread_page,post_text_cleaned,Sentiment
4:42 PM,wreckem1959,1st-In before the meltdown,1,1st-In before the meltdown,negative
4:43 PM,jopritch,Who all is injured?,1,Who all is injured?,neutral
4:44 PM,J. Ramirez,"  jopritch said:       Who all is injured?    Click to expand...  People we are keeping an eye on tonight are Myles Price, Bryce Ramirez, Dadrion Taylor-Demerson, Jaylon Hutchings and Tyler Owens.  They are all apparently expected to play as of Monday, per Joey. Team just arrived.",1,"People we are keeping an eye on tonight are Myles Price, Bryce Ramirez, Dadrion Taylor-Demerson, Jaylon Hutchings and Tyler Owens.  They are all apparently expected to play as of Monday, per Joey. Team just arrived.",positive
4:44 PM,BioRaider,In:   ,1,In:   ,none
4:44 PM,webredraider,Legit makes me nauseous just to look at the picture of that place. I have lived 1 hour away for 38 years and Ive been to three games there. The arrogance and sheer rudeness was enough to never set foot there again. I guess Im a puss but so be it. I dont have to put myself in situations like that. The burnt orange flying uteruses are not my people. At all.,1,Legit makes me nauseous just to look at the picture of that place. I have lived 1 hour away for 38 years and Ive been to three games there. The arrogance and sheer rudeness was enough to never set foot there again. I guess Im a puss but so be it. I dont have to put myself in situations like that. The burnt orange flying uteruses are not my people. At all.,negative
4:46 PM,SoCal Raider,"So when Texas comes out on the field please tell us whether or not Xavier Worthy is out there....we've got a few posters who seem to think that he ain't playing, which would be huge if true.",1,"So when Texas comes out on the field please tell us whether or not Xavier Worthy is out there....we've got a few posters who seem to think that he ain't playing, which would be huge if true.",neutral
4:48 PM,J. Apodaca,"  SoCal Raider said:       So when Texas comes out on the field please tell us whether or not Xavier Worthy is out there....we've got a few posters who seem to think that he ain't playing, which would be huge if true.    Click to expand...  I've heard similar. I am monitoring.",1,I've heard similar. I am monitoring.,positive
4:48 PM,tStockton,"Joey always has the guys fired up for big games. Itll be tough since UT still has a lot to play for, but I think well give them our best punch.",1,"Joey always has the guys fired up for big games. Itll be tough since UT still has a lot to play for, but I think well give them our best punch.",positive
4:49 PM,mxraider,    Nothing but high quality positive posts from me today,1,    Nothing but high quality positive posts from me today,positive
4:49 PM,Redraider3403,"Today we exercise the demon forever. Be gone, Satan!",1,"Today we exercise the demon forever. Be gone, Satan!",positive
4:50 PM,J. Apodaca,"  J. Apodaca said:       I've heard similar. I am monitoring.    Click to expand...  He is out here, looks good to go.",1,"He is out here, looks good to go.",positive
4:51 PM,J. Ramirez,"Jaylon Hutchings walked in without a limp when the team arrived, fwiw",1,"Jaylon Hutchings walked in without a limp when the team arrived, fwiw",positive
4:53 PM,aliefallstar,lets win,1,lets win,positive
5:00 PM,Wreckemtimes,Lets get weird,1,Lets get weird,positive
5:05 PM,J. Ramirez,Rabbit is out on the field and running around. All players warming up are still in t shirt and shorts but that's a good sign.,1,Rabbit is out on the field and running around. All players warming up are still in t shirt and shorts but that's a good sign.,positive
5:09 PM,J. Apodaca,"dont wanna alarm anyone because it's still early, but Hutchings isn't necessarily participating in initial warmups.",1,"dont wanna alarm anyone because it's still early, but Hutchings isn't necessarily participating in initial warmups.",negative
5:10 PM,Bettycawkder,  mxraider said:        Nothing but high quality positive posts from me today    Click to expand...     ,1,   ,none
5:10 PM,GunsUp5,"  J. Apodaca said:       dont wanna alarm anyone because it's still early, but Hutchings isn't necessarily participating in initial warmups.    Click to expand...  That is a massive blow if he is out. Damn",1,That is a massive blow if he is out. Damn,positive
5:11 PM,DCSteveJ913,Let's beat these damn horns and send them out of the Big 12 with a loss from the Red Raiders.   ,1,Let's beat these damn horns and send them out of the Big 12 with a loss from the Red Raiders.   ,negative
5:12 PM,Rolf C,LET'S GOOOOOO!,1,LET'S GOOOOOO!,positive
